,env,algo,lr,beta,epsilon,avg_return,total_time,asymptotic_return
21,SpaceInvaders,tdprop,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,326.39450542396816,7445.339840173721,376.6
22,Breakout,tdprop,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,5.393372115464145,7978.47624206543,7.3
23,Qbert,tdprop,1.741721877129104e-05,0.15204230515702444,2.8955830632837128e-06,521.3115322394268,7493.894520282745,530.75
24,BeamRider,sgd,0.35237674528431495,0.7925277753091199,0.0006051871065388518,1246.1152448520506,5534.856048345566,1456.6
25,SpaceInvaders,sgd,0.35237674528431495,0.7925277753091199,0.0006051871065388518,412.9072948328267,5490.137451887131,531.6
26,Breakout,sgd,0.35237674528431495,0.7925277753091199,0.0006051871065388518,38.92967741935484,6935.69026350975,143.09
27,Qbert,sgd,0.35237674528431495,0.7925277753091199,0.0006051871065388518,1235.851963915504,6643.210453987122,1538.5
28,BeamRider,adam,0.004724685089961481,0.7925277753091199,0.0006051871065388518,511.1255924170616,6948.143933534622,533.64
29,SpaceInvaders,adam,0.004724685089961481,0.7925277753091199,0.0006051871065388518,231.30272721625147,6656.355228662491,216.95
30,Breakout,adam,0.004724685089961481,0.7925277753091199,0.0006051871065388518,20.52284232235485,6946.087257862091,26.37
31,Qbert,adam,0.004724685089961481,0.7925277753091199,0.0006051871065388518,429.3897506463181,5742.180767059326,350.75
32,BeamRider,tdprop,0.004724685089961481,0.7925277753091199,0.0006051871065388518,1333.325826882477,7399.516902685165,1627.76
33,SpaceInvaders,tdprop,0.004724685089961481,0.7925277753091199,0.0006051871065388518,422.8873563218391,6513.991963863373,615.8
34,Breakout,tdprop,0.004724685089961481,0.7925277753091199,0.0006051871065388518,40.61549022774996,6659.51761674881,32.03
35,Qbert,tdprop,0.004724685089961481,0.7925277753091199,0.0006051871065388518,143.74502322495024,7835.2887570858,151.0
36,BeamRider,sgd,0.0005202965540346114,0.2898943465468121,1.1013021462064584e-05,267.05770147830236,5498.442851305008,344.52
37,SpaceInvaders,sgd,0.0005202965540346114,0.2898943465468121,1.1013021462064584e-05,275.211672008547,5548.417950630188,253.15
38,Breakout,sgd,0.0005202965540346114,0.2898943465468121,1.1013021462064584e-05,2.394501216545012,6723.021076202393,2.46
39,Qbert,sgd,0.0005202965540346114,0.2898943465468121,1.1013021462064584e-05,262.040400982272,5158.386618852615,271.25
40,BeamRider,adam,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,351.32684193443686,4809.9714448452,381.28
41,SpaceInvaders,adam,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,251.46326975117154,5573.617081642151,283.05
42,Breakout,adam,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,36.24916356290638,5851.25489115715,61.78
43,Qbert,adam,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,494.20068714632174,5861.123216629028,629.0
44,BeamRider,tdprop,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,1182.5596539162113,7082.544897079468,1633.14
45,SpaceInvaders,tdprop,0.00029532798176033027,0.2898943465468121,1.1013021462064584e-05,317.57022471910113,6860.562144756317,323.55
